City,Address,Number_of_rooms,Type,Price_in_dollars,All_Method,REA,Dateofsold,DistanceKM,Postcode,Bathroom,car_place,LandSizeMetres,BuildinSizeMetres,YearBuilt,CouncilArea,Lattitude,Longtitude,GeneralRegion,No_of_properties
Maidstone,12 Inkerman St,3,h,1005000,S,Sweeney,22-07-2017,6.4,3012,1,5,653,109,1930,Maribyrnong City Council,-37.78639,144.88214,Western Metropolitan,3873
Essendon,40 Braemar St,3,h,,SP,Frank,12-11-2016,8,3040,1,2,585,159,1920,Moonee Valley City Council,-37.7477,144.905,Western Metropolitan,9264
Northcote,18/70 Gadd St,2,t,680000,PI,Ray,11-03-2017,5.5,3070,,,,,,Darebin City Council,,,Northern Metropolitan,11364
Sunshine West,35 Fontana Cl,4,h,790000,S,Brad,09-12-2017,10.5,3020,2,2,,216,,Brimbank City Council,-37.79567,144.79956,Western Metropolitan,6763
Melbourne,606/668 Bourke St,2,u,,SP,MICM,17-03-2018,0,3000,,,,,,Melbourne City Council,,,Northern Metropolitan,17496
Newport,2A Gordon St,2,h,710000,S,Williams,01-07-2017,6.2,3015,1,2,120,121,2011,Hobsons Bay City Council,-37.84026,144.86667,Western Metropolitan,5498
Northcote,13/200 Westgarth St,1,u,400000,VB,Nelson,27-11-2016,5.5,3070,1,1,0,43,2014,Darebin City Council,-37.7831,145.0124,Northern Metropolitan,11364
Elsternwick,275 Kooyong Rd,3,h,1605000,S,Biggin,27-11-2016,8.5,3185,1,1,418,152,1890,Glen Eira City Council,-37.8831,145.0153,Southern Metropolitan,4898
St Albans,13 Gillespie Rd,4,h,660000,S,Purplebricks,09-12-2017,14,3021,2,4,582,185,1984,Brimbank City Council,-37.73517,144.78804,Western Metropolitan,14042
Deer Park,81 Pioneer Dr,7,h,1000000,S,HAR,14-10-2017,14.8,3023,3,2,,472,2010,Brimbank City Council,-37.7775,144.76197,Western Metropolitan,6388
Preston,21 Birch St,4,h,,PI,McGrath,17-03-2018,8.4,3072,2,4,545,,,Darebin City Council,-37.74438,144.9857,Northern Metropolitan,14577
Elwood,2/25 Kingsley St,2,u,660000,S,Chisholm,27-05-2017,7.2,3184,1,1,0,,,Port Phillip City Council,-37.88945,144.99015,Southern Metropolitan,8989
Glen Iris,5/10 Osborne Av,2,u,535000,S,Jellis,17-02-2018,7.3,3146,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Reservoir,11B Mahoneys Rd,3,h,550000,VB,Ray,15-07-2017,12,3073,1,2,1723,,,Darebin City Council,-37.69484,145.00854,Northern Metropolitan,21650
Hoppers Crossing,21 Casey Dr,3,h,,VB,Triwest,06-01-2018,18.4,3029,2,1,554,,,Wyndham City Council,-37.84999,144.67731,Western Metropolitan,13830
Keilor East,13 Pennington St,4,h,835000,S,Nelson,16-04-2016,12.8,3033,2,3,708,184,1990,Brimbank City Council,-37.7452,144.8652,Western Metropolitan,5629
Doncaster East,28 Greendale Rd,3,h,1255000,SA,Ray,24-06-2017,14.3,3109,2,2,348,,,Manningham City Council,-37.79759,145.16422,Eastern Metropolitan,10999
Coburg North,12 Smith St,3,h,796000,S,hockingstuart,16-09-2017,6.7,3058,1,2,,,,Darebin City Council,-37.7282,144.96298,Northern Metropolitan,3445
Craigieburn,98 Wattletree St,4,h,540000,S,LITTLE,17-03-2018,20.6,3064,2,2,392,,,Hume City Council,-37.57578,144.90272,Northern Metropolitan,15510
South Yarra,24/384 Toorak Rd,1,u,367000,S,hockingstuart,22-05-2016,3.3,3141,1,0,0,42,1950,Melbourne City Council,-37.8406,145.0035,Southern Metropolitan,14887
Elwood,11/16 Byron St,1,u,326000,VB,hockingstuart,27-06-2016,7.7,3184,1,1,0,,,Port Phillip City Council,-37.8768,144.9905,Southern Metropolitan,8989
South Yarra,24B Argo St,2,h,1350000,S,hockingstuart,28-10-2017,2.7,3141,1,2,127,128,2000,Melbourne City Council,-37.84406,144.98686,Southern Metropolitan,14887
Hoppers Crossing,186 Derrimut Rd,3,h,645000,S,hockingstuart,18-11-2017,18.4,3029,2,2,,,,Wyndham City Council,-37.8697,144.6845,Western Metropolitan,13830
Footscray,2/25 Stanlake St,3,t,699000,S,Jas,24-09-2016,6.4,3011,1,1,125,113,2000,Maribyrnong City Council,-37.7922,144.8831,Western Metropolitan,7570
Flemington,15 Clarence St,3,h,885000,S,Nelson,13-08-2016,4.4,3031,1,0,162,,,Melbourne City Council,-37.7869,144.9253,Northern Metropolitan,3593
Port Melbourne,201/38 Nott St,2,u,790000,S,Marshall,09-12-2017,3.5,3207,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Essendon,5/3 Violet St,2,u,502000,S,Brad,24-02-2018,7.5,3040,1,1,105,63,1970,Moonee Valley City Council,-37.75557,144.91246,Western Metropolitan,9264
Richmond,8 Hodgson Tce,3,h,1205000,S,Biggin,12-11-2016,2.6,3121,1,0,164,,,Yarra City Council,-37.8198,144.9979,Northern Metropolitan,14949
Essendon,3/85 Tennyson St,2,u,550000,VB,Nelson,03-09-2016,8,3040,1,1,0,83,1980,Moonee Valley City Council,-37.7575,144.9298,Western Metropolitan,9264
Balwyn North,325 Belmore Rd,5,h,3250000,PI,Jellis,06-08-2016,9.2,3104,4,2,886,520,2013,Boroondara City Council,-37.804,145.0951,Southern Metropolitan,7809
Richmond,31 Westbank Tce,3,h,1346000,S,hockingstuart,14-05-2016,2.6,3121,1,1,207,,,Yarra City Council,-37.8215,145.0132,Northern Metropolitan,14949
St Kilda,204/7 Brighton Rd,2,u,,PI,Jellis,18-11-2017,5,3182,,,,,,Port Phillip City Council,,,Southern Metropolitan,13240
Eltham,1 Nioka Ct,3,h,720000,VB,Buckingham,07-10-2017,18,3095,2,2,794,,,Banyule City Council,-37.71417,145.13707,Eastern Metropolitan,6990
Footscray,2 Buckingham St,3,h,747000,S,Jas,16-07-2016,6.4,3011,1,1,246,120,1940,Maribyrnong City Council,-37.8012,144.8924,Western Metropolitan,7570
South Kingsville,63 Saltley St,3,h,995000,S,Burnham,20-05-2017,9.1,3015,1,0,669,,,Hobsons Bay City Council,-37.8303,144.8679,Western Metropolitan,984
Doncaster East,345 Serpells Rd,4,h,1600000,S,Barry,09-09-2017,14.3,3109,3,2,878,306,1970,Manningham City Council,-37.76888,145.17044,Eastern Metropolitan,10999
Ringwood North,35 Burlock Av,3,h,,SP,hockingstuart,17-06-2017,19.9,3134,,,,,,Manningham City Council,,,Eastern Metropolitan,3619
Templestowe Lower,6 Magnolia Dr,5,h,1225000,PI,Barry,27-05-2017,12.4,3107,2,2,665,,1980,Manningham City Council,-37.77156,145.1226,Eastern Metropolitan,5420
Elwood,117 Spray St,4,h,2200000,VB,Chisholm,21-10-2017,7.2,3184,2,1,544,161,1925,Port Phillip City Council,-37.88261,144.98467,Southern Metropolitan,8989
Murrumbeena,4/16 Rosella St,2,u,680000,S,Buxton,07-05-2016,12.1,3163,1,2,275,94,1975,Glen Eira City Council,-37.8936,145.0725,Southern Metropolitan,4442
Collingwood,81 Easey St,2,h,900000,VB,Jellis,27-05-2017,2,3066,1,0,139,78,1890,Yarra City Council,-37.79812,144.98873,Northern Metropolitan,4553
West Footscray,11 Church St,3,h,1100500,S,Jas,19-08-2017,6.4,3012,2,2,427,119,1936,Maribyrnong City Council,-37.79105,144.87914,Western Metropolitan,5058
South Kingsville,56a Vernon St,2,t,730000,S,Village,10-03-2018,6.2,3015,1,1,215,,,Hobsons Bay City Council,-37.83167,144.87129,Western Metropolitan,984
Hawthorn East,4/3 Brookfield Ct,1,u,430000,S,Jellis,25-02-2017,7.5,3123,1,1,2276,58,1950,Boroondara City Council,-37.8343,145.0547,Southern Metropolitan,6482
Camberwell,64 Fordham Av,5,h,2240000,S,Jellis,04-03-2017,7.8,3124,,,,,,Boroondara City Council,,,Southern Metropolitan,8920
Templestowe Lower,132 Templestowe Rd,4,h,1020000,S,Barry,27-11-2016,13.8,3107,2,2,652,145,1965,Manningham City Council,-37.7557,145.0957,Eastern Metropolitan,5420
Brighton East,36 Binnie St,5,h,,VB,Buxton,25-11-2017,10.3,3187,,,,,,Bayside City Council,,,Southern Metropolitan,6938
Tarneit,5/27 Turva Av,2,u,351500,S,Barry,11-11-2017,18.4,3029,,,,,,Wyndham City Council,,,Western Metropolitan,10160
Port Melbourne,301/142 Rouse St,2,u,1300000,S,Home,17-03-2018,3.5,3207,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Brighton,3/136 New St,3,u,1392000,S,hockingstuart,13-05-2017,11.2,3186,2,1,188,,,Bayside City Council,-37.9181,144.9933,Southern Metropolitan,10579
Hampton,9 Foam St,4,h,,S,Hodges,12-11-2016,13.7,3188,2,2,393,280,2010,Bayside City Council,-37.9377,145.0064,Southern Metropolitan,5454
Bentleigh East,1/3 Brady Rd,3,u,830000,S,Woodards,28-08-2016,13.9,3165,2,2,395,,2001,Glen Eira City Council,-37.9364,145.0649,Southern Metropolitan,10969
Surrey Hills,74 Union Rd,4,h,2725000,S,Noel,28-10-2017,10.2,3127,3,2,1308,,,Boroondara City Council,-37.82839,145.09659,Southern Metropolitan,5457
Heidelberg West,18 Achilles St,2,h,415000,SP,Ray,28-05-2016,9.4,3081,1,1,422,,,Banyule City Council,-37.7343,145.044,Eastern Metropolitan,2674
Brighton East,4 Marriage Rd,4,h,1850000,S,Nick,03-09-2016,10.7,3187,2,2,617,268,1940,Bayside City Council,-37.9187,145.007,Southern Metropolitan,6938
Camberwell,52 Ellsworth Cr,3,t,1280000,SP,Jellis,29-07-2017,7.7,3124,2,2,186,158,2014,Boroondara City Council,-37.84143,145.08705,Southern Metropolitan,8920
Wyndham Vale,13 Provan Dr,3,h,468000,S,hockingstuart,28-10-2017,27.2,3024,1,4,547,,,Wyndham City Council,-37.90083,144.62664,Western Metropolitan,5262
Tullamarine,9/200 Melrose Dr,2,u,300000,SP,Jason,29-07-2017,12.9,3043,1,1,0,66.32,1980,Brimbank City Council,-37.69815,144.88019,Western Metropolitan,3296
Melbourne,608/547 Flinders La,2,u,370000,S,MICM,08-10-2016,2.8,3000,,,,,,Melbourne City Council,,,Northern Metropolitan,17496
Beaumaris,5 Spicer St,3,h,,S,Hodges,25-11-2017,17.3,3193,,,,,,Bayside City Council,,,Southern Metropolitan,5366
Ivanhoe,11 Athelstane Gr,4,h,2380000,S,Jellis,24-06-2017,7.8,3079,2,2,778,,,Banyule City Council,-37.76356,145.04135,Eastern Metropolitan,5549
Doncaster,8 Howard Ct,3,h,1100000,VB,Vic,27-11-2016,13.9,3108,2,2,771,169,1960,Manningham City Council,-37.7765,145.117,Eastern Metropolitan,9028
Ormond,6/307 Grange Rd,1,u,284000,S,Charlton,18-11-2017,11.4,3204,,,,,,Glen Eira City Council,,,Southern Metropolitan,3578
Brighton,1/27 Brickwood St,3,h,1550000,VB,hockingstuart,27-11-2016,11.2,3186,,,,,,Bayside City Council,,,Southern Metropolitan,10579
Brighton East,3/756 Hawthorn Rd,3,t,1051000,S,Marshall,23-09-2017,10.3,3187,2,2,,142,2000,Bayside City Council,-37.91322,145.01654,Southern Metropolitan,6938
Balaclava,41 Marlborough St,3,h,1080000,S,Buxton,27-06-2016,6.6,3183,1,1,157,,1928,Port Phillip City Council,-37.8696,144.9925,Southern Metropolitan,2952
Kensington,107/88 Altona St,1,u,360000,VB,Dingle,10-12-2016,4.2,3031,1,1,4267,,,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan,5263
Chelsea Heights,17 Amaroo Dr,4,h,732000,S,Buxton,24-06-2017,27,3196,2,2,536,202,1985,Kingston City Council,-38.03526,145.13286,South-Eastern Metropolitan,2076
Williamstown North,4/29 Champion Rd,2,u,400000,SP,Compton,08-10-2016,8.9,3016,1,1,0,,1970,Hobsons Bay City Council,-37.8564,144.8864,Western Metropolitan,802
Mount Waverley,58 Carrol Gr,3,h,1050000,VB,Roger,03-03-2018,14.2,3149,1,,795,,,Monash City Council,-37.89179,145.11339,Eastern Metropolitan,13366
Reservoir,2 Dawson St,3,h,760000,PI,Barry,21-10-2017,12,3073,1,2,750,,,Darebin City Council,-37.70058,144.98905,Northern Metropolitan,21650
Hampton East,110 Wickham Rd,3,h,,SP,Kay,01-07-2017,13.8,3188,1,2,724,,,Bayside City Council,-37.94444,145.03539,Southern Metropolitan,2356
Bentleigh,29 Mavho St,3,h,1116000,S,hockingstuart,17-06-2017,11.4,3204,1,2,278,,1930,Glen Eira City Council,-37.91928,145.03381,Southern Metropolitan,6795
South Yarra,21/384 Toorak Rd,2,u,820000,S,hockingstuart,03-03-2018,2.7,3141,,,,,,Melbourne City Council,,,Southern Metropolitan,14887
Kensington,607/255 Racecourse Rd,2,u,630000,S,Nelson,04-03-2017,4.2,3031,2,1,0,,,Melbourne City Council,-37.7886,144.9328,Northern Metropolitan,5263
Elsternwick,8 Ross St,4,h,1100000,VB,hockingstuart,03-12-2016,8.5,3185,2,0,147,159,1910,Glen Eira City Council,-37.8852,144.9997,Southern Metropolitan,4898
Coburg,9 Sargood St,2,h,642000,S,Nelson,27-06-2016,7.8,3058,1,0,167,,,Darebin City Council,-37.7477,144.9647,Northern Metropolitan,11204
Brunswick,10a Latrobe St,4,h,1440000,S,Nelson,11-11-2017,5.2,3056,,,,,,Moreland City Council,,,Northern Metropolitan,11918
Bulleen,12 Rocklea Rd,3,h,1331000,S,Barry,23-09-2017,10.8,3105,2,2,697,158,1970,Manningham City Council,-37.76823,145.08103,Eastern Metropolitan,4480
Hampton,2/481 Bluff Rd,3,t,1100000,SP,Buxton,14-10-2017,13.8,3188,,,,,,Bayside City Council,,,Southern Metropolitan,5454
Seddon,36 Bayview Rd,3,h,1085000,S,Village,24-06-2017,5.1,3011,1,1,297,211,1920,Maribyrnong City Council,-37.80828,144.8856,Western Metropolitan,2417
Kew,3/32 Ridgeway Av,2,t,1135000,SP,Noel,03-03-2018,5.4,3101,,,,,,Boroondara City Council,,,Southern Metropolitan,10331
Ascot Vale,32 Myross Av,3,h,925000,S,Nelson,13-08-2016,5.9,3032,,,,,,Moonee Valley City Council,,,Western Metropolitan,6567
Altona North,150 Millers Rd,3,h,585000,S,Biggin,03-06-2017,9.4,3025,1,1,402,,,Hobsons Bay City Council,-37.83012,144.84818,Western Metropolitan,5132
Bundoora,4 Sundew St,4,h,,PI,HAR,24-02-2018,12.1,3083,2,2,618,232,2003,Banyule City Council,-37.67913,145.0494,Northern Metropolitan,10175
Sunshine West,1/52 Drinkwater Cr,3,h,450000,S,Douglas,08-07-2017,10.5,3020,1,2,283,104,1970,Brimbank City Council,-37.79703,144.81228,Western Metropolitan,6763
Airport West,117 Marshall Rd,3,h,662000,S,Brad,23-04-2016,13.5,3042,1,2,612,,,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464
Williamstown,2 Heriot Pl,3,h,,SN,Williams,24-09-2016,8,3016,3,1,197,144,2016,Hobsons Bay City Council,-37.8649,144.9069,Western Metropolitan,6380
Balwyn,122 Belmore Rd,3,h,1725000,PI,Jellis,11-11-2017,7.9,3103,1,7,,,,Boroondara City Council,-37.8029,145.0777,Southern Metropolitan,5682
Broadmeadows,158 Widford St,3,h,,W,YPA,27-05-2017,14,3047,1,1,630,81,1960,Hume City Council,-37.69227,144.92579,Northern Metropolitan,4294
Balwyn North,8 Colby St,3,h,,S,Noel,18-03-2017,9.2,3104,,,,,,Boroondara City Council,,,Southern Metropolitan,7809
Coburg,82a Ross St,3,t,780000,S,Barry,08-07-2017,6.7,3058,,,,,,Darebin City Council,,,Northern Metropolitan,11204
Oak Park,12 Jessie St,3,h,972000,S,Brad,27-05-2017,11.2,3046,1,2,699,,,Moreland City Council,-37.71579,144.92231,Northern Metropolitan,2651
Port Melbourne,6/53 Johnston St,2,u,985000,SP,Buxton,28-10-2017,3.5,3207,,,,,,Melbourne City Council,,,Southern Metropolitan,8648
Maidstone,3/29 Burns St,2,t,672000,SP,Biggin,17-09-2016,9.2,3012,,,,,,Maribyrnong City Council,,,Western Metropolitan,3873
Brunswick East,3/164 Nicholson St,2,h,932500,SP,Woodards,06-05-2017,4.5,3057,,,,,,Moreland City Council,,,Northern Metropolitan,5533
Coburg,4/6 Industry La,2,t,,SP,Caine,07-11-2016,7.8,3058,2,2,0,112,2004,Darebin City Council,-37.7367,144.9701,Northern Metropolitan,11204
Hawthorn,7/3 Harrison Cr,2,u,560000,S,RT,17-09-2016,4.6,3122,,,,,,Boroondara City Council,,,Southern Metropolitan,11308
Glen Iris,28 Ferndale Rd,3,h,2200000,S,Marshall,25-02-2017,9.2,3146,1,2,700,142,1930,Boroondara City Council,-37.8553,145.0711,Southern Metropolitan,10412
Bentleigh East,28b Blamey St,5,t,,SN,C21,20-05-2017,13.9,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Officer,22 Station St,3,h,,SP,Grant's,07-10-2017,43.3,3809,1,2,1016,,,Cardinia Shire Council,-38.06253,145.40948,Eastern Victoria,2768
Mooroolbark,6 Wandana St,4,h,825000,SP,McGrath,06-01-2018,26.5,3138,2,4,,,,Yarra Ranges Shire Council,-37.77433,145.30559,Eastern Victoria,8280
Aspendale Gardens,53 Branagan Dr,4,h,,SP,Ray,17-03-2018,21.5,3195,2,2,650,181,1995,Kingston City Council,-38.02859,145.12804,South-Eastern Metropolitan,2243
Notting Hill,12 Rosings Ct,4,h,1210000,SP,Harcourts,07-10-2017,16.7,3168,2,2,740,,,Monash City Council,-37.90397,145.15126,Southern Metropolitan,902
Kingsville,10 Kerr St,2,h,,S,hockingstuart,03-09-2017,6.4,3012,1,4,464,,,Maribyrnong City Council,-37.81111,144.87286,Western Metropolitan,1808
Brunswick,77 Blyth St,3,h,950000,SP,Jellis,06-08-2016,5.2,3056,1,0,170,96,1910,Moreland City Council,-37.7661,144.9691,Northern Metropolitan,11918
West Footscray,35 Exhibition St,2,h,790000,S,Village,24-09-2016,8.2,3012,1,1,259,,,Maribyrnong City Council,-37.8058,144.875,Western Metropolitan,5058
Brunswick,15 Ashmore St,3,h,1590000,SP,Nelson,03-06-2017,5.2,3056,2,1,322,,,Moreland City Council,-37.76316,144.97108,Northern Metropolitan,11918
Port Melbourne,5/109 Ross St,2,u,559000,S,hockingstuart,22-07-2017,3.5,3207,1,1,712,,1968,Melbourne City Council,-37.83529,144.93749,Southern Metropolitan,8648
Greenvale,51 Firth Wy,4,h,965000,S,Stockdale,17-06-2017,20.4,3059,,,,,,Hume City Council,,,Northern Metropolitan,4864
Noble Park,2/23 Bowmore Rd,3,u,475000,S,C21,24-02-2018,22.7,3174,,,,,,Greater Dandenong City Council,,,South-Eastern Metropolitan,11806
Glenroy,66 Langton St,3,h,590000,S,Stockdale,04-03-2017,13,3046,,,,,,Moreland City Council,,,Northern Metropolitan,8870
Glen Waverley,58 Cambridge Dr,4,h,1190000,S,Ray,23-09-2017,16.7,3150,2,2,653,,,Monash City Council,-37.89231,145.15141,Eastern Metropolitan,15321
Mount Waverley,15 Kay St,4,h,1650000,PI,@Realty,14-10-2017,14.2,3149,3,4,878,208,1980,Monash City Council,-37.86003,145.13038,Eastern Metropolitan,13366
Doncaster,460 Doncaster Rd,3,h,,S,Jellis,16-04-2016,13.9,3108,1,2,692,129,1960,Manningham City Council,-37.7878,145.1111,Eastern Metropolitan,9028
Pascoe Vale,21 Tangyes St,4,h,860000,S,Nelson,24-02-2018,8.5,3044,1,1,403,128,1959,Moreland City Council,-37.72644,144.9445,Northern Metropolitan,7485
Doncaster,9a Bayley Gr,3,h,840000,PI,Barry,06-05-2017,13.9,3108,,,,,,Manningham City Council,,,Eastern Metropolitan,9028
Coburg North,10 Arthur St,3,h,865000,S,Ray,27-05-2017,6.7,3058,2,2,677,110,1960,Darebin City Council,-37.72361,144.9837,Northern Metropolitan,3445
Airport West,20 Bedford St,3,h,693000,S,Nelson,10-02-2018,10.4,3042,1,1,,,,Moonee Valley City Council,-37.72069,144.87913,Western Metropolitan,3464
Essendon,1/155 Deakin St,3,h,897000,S,Frank,11-02-2017,8,3040,1,2,226,,2000,Moonee Valley City Council,-37.7393,144.8931,Western Metropolitan,9264
Caulfield South,303 Bambra Rd,3,h,1160500,S,Gary,08-10-2016,9.3,3162,2,1,358,,1930,Glen Eira City Council,-37.8965,145.0269,Southern Metropolitan,5051
Boronia,42 Matlock Rd,3,h,790000,S,Ray,29-07-2017,25,3155,1,2,868,,,Knox City Council,-37.85981,145.25475,Eastern Metropolitan,9704
Fitzroy North,22 Falconer St,4,h,3935000,S,Nelson,28-10-2017,3.6,3068,2,2,,,,Moreland City Council,-37.78503,144.98711,Northern Metropolitan,6244
Brunswick West,408 Moreland Rd,3,h,1200000,SP,Woodards,03-06-2017,5.2,3055,1,1,473,,,Moreland City Council,-37.7535,144.94643,Northern Metropolitan,7082
Prahran,208/11 Hillingdon Pl,1,u,550000,S,Biggin,08-04-2017,4.5,3181,1,1,0,,1900,Stonnington City Council,-37.8516,144.9943,Southern Metropolitan,7717
Elwood,209/12 Dickens St,2,u,,W,McGrath,23-09-2017,7.2,3184,,,,,,Port Phillip City Council,,,Southern Metropolitan,8989
Surrey Hills,2 Blackburn St,3,h,1225000,PI,Noel,18-11-2017,10.2,3127,,,,,,Boroondara City Council,,,Southern Metropolitan,5457
Essendon North,85 Kerferd St,4,h,1300000,SP,Frank,21-10-2017,8.2,3041,3,2,,225,1920,Moonee Valley City Council,-37.73645,144.89993,Western Metropolitan,1308
Keilor Park,22 Snow St,3,h,680000,VB,Eric,23-09-2017,10.4,3042,1,4,,,,Brimbank City Council,-37.72288,144.86107,Western Metropolitan,1119
Footscray,28 Central Av,2,h,942000,SP,Jas,19-08-2017,5.1,3011,1,1,241,91,1915,Maribyrnong City Council,-37.79583,144.89406,Western Metropolitan,7570
Greenvale,10 Hawick Ct,5,h,,PI,Barry,03-09-2017,20.4,3059,2,2,,,,Hume City Council,-37.64941,144.89579,Northern Metropolitan,4864
Carnegie,9/13 Maroona Rd,2,u,490000,PI,Buxton,22-04-2017,11.4,3163,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822
Surrey Hills,424 Whitehorse Rd,3,h,1775000,PI,Jellis,12-08-2017,10.2,3127,2,2,780,,,Boroondara City Council,-37.81403,145.08968,Southern Metropolitan,5457
South Kingsville,1/39 New St,2,t,650000,SP,Greg,06-08-2016,9.1,3015,2,1,151,102,2011,Hobsons Bay City Council,-37.8289,144.8671,Western Metropolitan,984
Footscray,211A Ballarat Rd,2,h,950000,PI,Burnham,11-02-2017,6.4,3011,1,2,657,92,1940,Maribyrnong City Council,-37.7909,144.8884,Western Metropolitan,7570
Southbank,114 Gladstone St,2,h,815000,SP,Cayzer,16-07-2016,1.2,3006,1,0,0,,,Melbourne City Council,-37.8297,144.9499,Southern Metropolitan,8400
Camberwell,2/13 Glyndon Rd,2,h,1185000,S,Kay,22-08-2016,7.8,3124,2,2,259,,,Boroondara City Council,-37.8357,145.0786,Southern Metropolitan,8920
Bentleigh East,23 Hill St,3,h,1232500,SP,C21,23-09-2017,13.8,3165,1,4,,,,Glen Eira City Council,-37.92444,145.06019,Southern Metropolitan,10969
Lower Plenty,5/29 Main Rd,2,u,460000,S,Morrison,11-11-2017,14.6,3093,,,,,,Banyule City Council,,,Eastern Metropolitan,1624
Glen Iris,2/4 Peace St,2,h,730000,S,hockingstuart,24-02-2018,7.3,3146,,,,,,Boroondara City Council,,,Southern Metropolitan,10412
Deer Park,26 Irvine St,3,h,535000,S,Stockdale,15-07-2017,14.8,3023,1,0,675,,,Brimbank City Council,-37.76496,144.77289,Western Metropolitan,6388
Ashburton,93A Ashburn Gr,4,t,1655000,S,hockingstuart,03-06-2017,10.2,3147,3,2,510,240,2013,Boroondara City Council,-37.87159,145.0795,Southern Metropolitan,3052
Williamstown,7 Alfred Pl,3,h,1200000,PI,Greg,08-07-2017,6.8,3016,2,0,159,,,Hobsons Bay City Council,-37.85843,144.89976,Western Metropolitan,6380
Wantirna,14 Corinella Sq,3,h,852000,S,Barry,18-11-2017,14.7,3152,,,,,,Knox City Council,,,Eastern Metropolitan,5424
Preston,590 Murray Rd,3,h,1355000,S,Barry,15-10-2016,8.8,3072,1,2,916,,,Darebin City Council,-37.7361,144.9883,Northern Metropolitan,14577
Keilor East,1/77 Lincoln Dr,3,t,745000,S,Barry,20-05-2017,12.8,3033,2,1,224,,,Brimbank City Council,-37.7426,144.868,Western Metropolitan,5629
Ardeer,126 Suspension St,3,h,615000,S,RW,09-12-2017,12.8,3022,1,1,,,,Brimbank City Council,-37.78132,144.79796,Western Metropolitan,1281
Point Cook,42 Middleton Dr,3,h,,PI,Barry,10-02-2018,14.7,3030,2,2,,128,2015,Wyndham City Council,-37.90854,144.75891,Western Metropolitan,15542
Thornbury,11 Clarendon St,3,h,1400000,SP,Jellis,17-09-2016,6.5,3071,2,1,417,159,1920,Darebin City Council,-37.7595,145.0017,Northern Metropolitan,8870
Craigieburn,348 Grand Bvd,2,t,380000,S,HAR,06-01-2018,20.6,3064,1,1,99,98,2015,Hume City Council,-37.57452,144.91706,Northern Metropolitan,15510
Ormond,44 Thompson St,3,t,1250000,S,hockingstuart,10-09-2016,11.8,3204,2,2,326,188,2000,Glen Eira City Council,-37.903,145.0285,Southern Metropolitan,3578
Oakleigh East,1/16 Franklyn St,2,u,780000,S,Ray,23-09-2017,12.3,3166,,,,,,Monash City Council,,,Southern Metropolitan,2547
Malvern East,84 Argyll St,3,h,,S,Buxton,07-10-2017,8.4,3145,1,2,,,,Stonnington City Council,-37.87466,145.08758,Southern Metropolitan,8801
Ferntree Gully,4 Parklands Cl,3,h,797000,S,Schroeder,09-09-2017,24.8,3156,2,1,626,145,1995,Knox City Council,-37.89555,145.27625,Eastern Metropolitan,10788
Bundoora,29 Sundew St,4,h,,PI,Ray,28-10-2017,12.1,3083,2,2,,,,Banyule City Council,-37.68157,145.04982,Northern Metropolitan,10175
Brighton,59 Murphy St,4,h,,SP,Nick,03-12-2016,11.2,3186,2,2,0,258,2010,Bayside City Council,-37.8905,144.997,Southern Metropolitan,10579
Brunswick,105 Dawson St,2,h,860000,PI,Jellis,19-11-2016,5.2,3056,1,1,298,88,1910,Moreland City Council,-37.7704,144.9504,Northern Metropolitan,11918
Bentleigh East,12 Elaine Ct,4,h,1250000,PI,Buxton,19-08-2017,13.8,3165,,,,,,Glen Eira City Council,,,Southern Metropolitan,10969
Cairnlea,2 Gumleaf Ct,3,h,636000,S,YPA,08-07-2017,14.8,3023,2,2,585,,2000,Brimbank City Council,-37.75777,144.77974,Western Metropolitan,2674
Essendon,44 Salmon Av,3,h,1926000,S,Nelson,20-05-2017,8,3040,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264
Port Melbourne,413/54 Nott St,2,u,516000,SP,Cayzer,12-11-2016,3.8,3207,1,1,0,70,2004,Melbourne City Council,-37.8407,144.9389,Southern Metropolitan,8648
Camberwell,12 Mayfield Av,4,h,,SN,RT,19-08-2017,7.7,3124,2,2,740,,,Boroondara City Council,-37.83995,145.08194,Southern Metropolitan,8920
Hoppers Crossing,58 Matlock St,4,h,807500,S,hockingstuart,09-12-2017,18.4,3029,2,4,,309,2000,Wyndham City Council,-37.87071,144.71566,Western Metropolitan,13830
Brunswick East,9 John St,4,h,1625000,S,Nelson,07-05-2016,4.5,3057,2,2,822,145,1890,Moreland City Council,-37.7749,144.9762,Northern Metropolitan,5533
Watsonia North,2A Frye St,3,h,825000,S,Barry,18-11-2017,14.5,3087,,,,,,Banyule City Council,,,Northern Metropolitan,1442
Bonbeach,1/2 Harding La,4,h,1850000,PI,O'Brien,25-11-2017,27,3196,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2887
Essendon,6 Fitzgerald Rd,5,h,1607500,S,Barry,20-05-2017,8,3040,3,1,695,,,Moonee Valley City Council,-37.7577,144.9267,Western Metropolitan,9264
